drug score dose
A	15	5
A	16	5
A	18	5
A	13	5
A	19	5
A	16	5
A	15	5
A	16	5
A	17	5
A	15	5
A	18	10
A	17	10
A	18	10
A	19	10
A	20	10
A	16	10
A	15	10
A	19	10
A	18	10
A	16	10
A	20	20
A	19	20
A	21	20
A	18	20
A	19	20
A	17	20
A	18	20
A	21	20
A	20	20
A	17	20
B	16	5
B	17	5
B	18	5
B	17	5
B	15	5
B	15	5
B	15	5
B	18	5
B	17	5
B	16	5
B	19	10
B	21	10
B	22	10
B	23	10
B	20	10
B	18	10
B	20	10
B	21	10
B	22	10
B	19	10
B	24	20
B	25	20
B	23	20
B	25	20
B	25	20
B	23	20
B	24	20
B	22	20
B	26	20
B	24	20
C	12	5
C	16	5
C	17	5
C	13	5
C	17	5
C	15	5
C	15	5
C	16	5
C	19	5
C	15	5
C	18	10
C	19	10
C	18	10
C	18	10
C	20	10
C	16	10
C	17	10
C	19	10
C	17	10
C	16	10
C	20	20
C	19	20
C	23	20
C	18	20
C	17	20
C	17	20
C	19	20
C	21	20
C	22	20
C	17	20
